groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Industrials,URI,United Rentals Inc.,0,0.067743,0.135486
Materials,LYB,LyondellBasell Industries NV,0,0.067674,0.135348
Consumer Discretionary,BBY,Best Buy Co. Inc.,0,0.067255,0.13451
Information Technology,PAYC,Paycom Software Inc.,0,0.067192,0.134384
Financials,HIG,Hartford Financial Services Group Inc.,0,0.067032,0.134064
Energy,DVN,Devon Energy Corporation,0,0.06653,0.13306
Financials,NTRS,Northern Trust Corporation,0,0.066453,0.132906
Energy,HES,Hess Corporation,0,0.065765,0.13153
Real Estate,EXR,Extra Space Storage Inc.,0,0.065288,0.130576
Information Technology,CDW,CDW Corp.,0,0.065064,0.130128
Consumer Staples,KHC,Kraft Heinz Company,0,0.064606,0.129212
Consumer Discretionary,EXPE,Expedia Group Inc.,0,0.063954,0.127908
Consumer Discretionary,CZR,Caesars Entertainment Inc,0,0.063822,0.127644
Communication Services,VIAC,ViacomCBS Inc. Class B,0,0.063517,0.127034
Consumer Discretionary,VFC,V.F. Corporation,0,0.063196,0.126392
Financials,HBAN,Huntington Bancshares Incorporated,0,0.062984,0.125968
Consumer Discretionary,GRMN,Garmin Ltd.,0,0.062873,0.125746
Consumer Staples,TSN,Tyson Foods Inc. Class A,0,0.062416,0.124832
Information Technology,ENPH,Enphase Energy Inc.,0,0.062144,0.124288
Industrials,DOV,Dover Corporation,0,0.06214,0.12428
Materials,VMC,Vulcan Materials Company,0,0.062129,0.124258
Financials,NDAQ,Nasdaq Inc.,0,0.061911,0.123822
Real Estate,MAA,Mid-America Apartment Communities Inc.,0,0.060802,0.121604
Consumer Discretionary,DLTR,Dollar Tree Inc.,0,0.060778,0.121556
Materials,MLM,Martin Marietta Materials Inc.,0,0.060188,0.120376
Consumer Discretionary,TSCO,Tractor Supply Company,0,0.059923,0.119846
Utilities,DTE,DTE Energy Company,0,0.059217,0.118434
Energy,BKR,Baker Hughes Company Class A,0,0.059047,0.118094
Industrials,XYL,Xylem Inc.,0,0.059041,0.118082
Consumer Discretionary,KMX,CarMax Inc.,0,0.05901,0.11802
Energy,HAL,Halliburton Company,0,0.058996,0.117992
Financials,KEY,KeyCorp,0,0.058963,0.117926
Consumer Discretionary,ULTA,Ulta Beauty Inc,0,0.058758,0.117516
Utilities,PPL,PPL Corporation,0,0.058686,0.117372
Health Care,STE,STERIS Plc,0,0.058439,0.116878
Health Care,CTLT,Catalent Inc,0,0.058343,0.116686
Materials,IP,International Paper Company,0,0.057942,0.115884
Information Technology,ANET,Arista Networks Inc.,0,0.057924,0.115848
Real Estate,ESS,Essex Property Trust Inc.,0,0.057847,0.115694
Utilities,AEE,Ameren Corporation,0,0.057421,0.114842
Information Technology,FLT,FLEETCOR Technologies Inc.,0,0.057257,0.114514
Utilities,EIX,Edison International,0,0.057082,0.114164
Health Care,CERN,Cerner Corporation,0,0.056513,0.113026
Industrials,IR,Ingersoll Rand Inc.,0,0.056257,0.112514
Health Care,WAT,Waters Corporation,0,0.056225,0.11245
Information Technology,TRMB,Trimble Inc.,0,0.056159,0.112318
Financials,RF,Regions Financial Corporation,0,0.056087,0.112174
Real Estate,VTR,Ventas Inc.,0,0.056062,0.112124
Utilities,ETR,Entergy Corporation,0,0.055521,0.111042
Information Technology,VRSN,VeriSign Inc.,0,0.055324,0.110648
Information Technology,BR,Broadridge Financial Solutions Inc.,0,0.055169,0.110338
Information Technology,NTAP,NetApp Inc.,0,0.055007,0.110014
Consumer Staples,CHD,Church & Dwight Co. Inc.,0,0.054676,0.109352
Information Technology,MPWR,Monolithic Power Systems Inc.,0,0.054537,0.109074
Financials,CFG,Citizens Financial Group Inc.,0,0.05452,0.10904
Information Technology,TYL,Tyler Technologies Inc.,0,0.054247,0.108494
Health Care,CRL,Charles River Laboratories International Inc.,0,0.054131,0.108262
Industrials,EXPD,Expeditors International of Washington Inc.,0,0.053544,0.107088
Consumer Staples,CLX,Clorox Company,0,0.053352,0.106704
Information Technology,TDY,Teledyne Technologies Incorporated,0,0.053189,0.106378
Consumer Staples,MKC,McCormick & Company Incorporated,0,0.053121,0.106242
Utilities,FE,FirstEnergy Corp.,0,0.05309,0.10618
Real Estate,DRE,Duke Realty Corporation,0,0.053019,0.106038
Health Care,COO,Cooper Companies Inc.,0,0.052791,0.105582
Information Technology,HPE,Hewlett Packard Enterprise Co.,0,0.052225,0.10445
Communication Services,TTWO,Take-Two Interactive Software Inc.,0,0.052214,0.104428
Consumer Discretionary,DRI,Darden Restaurants Inc.,0,0.052125,0.10425
Consumer Discretionary,MGM,MGM Resorts International,0,0.051646,0.103292
Financials,MTB,M&T Bank Corporation,0,0.051617,0.103234
Health Care,TECH,Bio-Techne Corporation,0,0.051434,0.102868
Consumer Discretionary,RCL,Royal Caribbean Group,0,0.050898,0.101796
Health Care,PKI,PerkinElmer Inc.,0,0.050527,0.101054
Consumer Discretionary,CCL,Carnival Corporation,0,0.05033,0.10066
Industrials,GWW,W.W. Grainger Inc.,0,0.049647,0.099294
Real Estate,PEAK,Healthpeak Properties Inc.,0,0.049287,0.098574
Energy,FANG,Diamondback Energy Inc.,0,0.049199,0.098398
Materials,AMCR,Amcor PLC,0,0.048772,0.097544
Information Technology,QRVO,Qorvo Inc.,0,0.048768,0.097536
Consumer Discretionary,GPC,Genuine Parts Company,0,0.048445,0.09689
Financials,RJF,Raymond James Financial Inc.,0,0.048326,0.096652
Consumer Discretionary,POOL,Pool Corporation,0,0.048229,0.096458
Materials,CE,Celanese Corporation,0,0.048037,0.096074
Health Care,HOLX,Hologic Inc.,0,0.047474,0.094948
Health Care,ABC,AmerisourceBergen Corporation,0,0.047374,0.094748
Financials,CINF,Cincinnati Financial Corporation,0,0.047188,0.094376
Utilities,CMS,CMS Energy Corporation,0,0.04704,0.09408
Consumer Discretionary,DPZ,Domino's Pizza Inc.,0,0.046933,0.093866
Industrials,J,Jacobs Engineering Group Inc.,0,0.046813,0.093626
Information Technology,TER,Teradyne Inc.,0,0.046612,0.093224
Health Care,DGX,Quest Diagnostics Incorporated,0,0.046427,0.092854
Information Technology,WDC,Western Digital Corporation,0,0.046303,0.092606
Consumer Discretionary,BBWI,Bath & Body Works Inc.,0,0.046212,0.092424
Industrials,WAB,Westinghouse Air Brake Technologies Corporation,0,0.045736,0.091472
Materials,AVY,Avery Dennison Corporation,0,0.04573,0.09146
Health Care,TFX,Teleflex Incorporated,0,0.045535,0.09107
Information Technology,AKAM,Akamai Technologies Inc.,0,0.04553,0.09106
Financials,PFG,Principal Financial Group Inc.,0,0.04537,0.09074
Consumer Discretionary,NVR,NVR Inc.,0,0.044809,0.089618
Energy,CTRA,Coterra Energy Inc.,0,0.04477,0.08954
Real Estate,BXP,Boston Properties Inc.,0,0.044132,0.088264
Information Technology,STX,Seagate Technology Holdings PLC,0,0.043958,0.087916
Information Technology,CDAY,Ceridian HCM Holding Inc.,0,0.043949,0.087898
Industrials,TXT,Textron Inc.,0,0.043563,0.087126
Communication Services,OMC,Omnicom Group Inc,0,0.043559,0.087118
Health Care,VTRS,Viatris Inc.,0,0.043549,0.087098
Industrials,IEX,IDEX Corporation,0,0.043318,0.086636
Consumer Staples,CAG,Conagra Brands Inc.,0,0.043121,0.086242
Utilities,AES,AES Corporation,0,0.042978,0.085956
Consumer Staples,K,Kellogg Company,0,0.041934,0.083868
Industrials,PWR,Quanta Services Inc.,0,0.041911,0.083822
Health Care,ABMD,ABIOMED Inc.,0,0.041796,0.083592
Utilities,CNP,CenterPoint Energy Inc.,0,0.041296,0.082592
Health Care,BIO,Bio-Rad Laboratories Inc. Class A,0,0.041084,0.082168
Real Estate,UDR,UDR Inc.,0,0.041,0.082
Financials,MKTX,MarketAxess Holdings Inc.,0,0.040968,0.081936
Industrials,UAL,United Airlines Holdings Inc.,0,0.040864,0.081728
Communication Services,IPG,Interpublic Group of Companies Inc.,0,0.03984,0.07968
Consumer Discretionary,LKQ,LKQ Corporation,0,0.03935,0.0787
Financials,BRO,Brown & Brown Inc.,0,0.039198,0.078396
Industrials,JBHT,J.B. Hunt Transport Services Inc.,0,0.039159,0.078318
Information Technology,NLOK,NortonLifeLock Inc.,0,0.039045,0.07809
Materials,EMN,Eastman Chemical Company,0,0.039008,0.078016
Utilities,EVRG,Evergy Inc.,0,0.038672,0.077344
Industrials,MAS,Masco Corporation,0,0.03859,0.07718
Materials,MOS,Mosaic Company,0,0.038214,0.076428
Consumer Discretionary,AAP,Advance Auto Parts Inc.,0,0.037643,0.075286
Utilities,LNT,Alliant Energy Corp,0,0.037542,0.075084
Health Care,CAH,Cardinal Health Inc.,0,0.037476,0.074952
Communication Services,FOXA,Fox Corporation Class A,0,0.036468,0.072936
Real Estate,KIM,Kimco Realty Corporation,0,0.036036,0.072072
Financials,CBOE,Cboe Global Markets Inc,0,0.03585,0.0717
Industrials,LDOS,Leidos Holdings Inc.,0,0.03547,0.07094
Consumer Discretionary,LVS,Las Vegas Sands Corp.,0,0.03546,0.07092
Materials,PKG,Packaging Corporation of America,0,0.03531,0.07062
Communication Services,LYV,Live Nation Entertainment Inc.,0,0.035144,0.070288
Consumer Staples,SJM,J.M. Smucker Company,0,0.035109,0.070218
Industrials,FBHS,Fortune Brands Home & Security Inc.,0,0.034834,0.069668
Materials,WRK,WestRock Company,0,0.034784,0.069568
Materials,CF,CF Industries Holdings Inc.,0,0.034666,0.069332
Real Estate,IRM,Iron Mountain Inc.,0,0.03456,0.06912
Information Technology,PTC,PTC Inc.,0,0.034552,0.069104
Consumer Discretionary,WHR,Whirlpool Corporation,0,0.034381,0.068762
Financials,LNC,Lincoln National Corporation,0,0.03414,0.06828
Energy,MRO,Marathon Oil Corporation,0,0.034094,0.068188
Consumer Staples,BF.B,Brown-Forman Corporation Class B,0,0.033997,0.067994
Consumer Discretionary,PHM,PulteGroup Inc.,0,0.033947,0.067894
Industrials,AAL,American Airlines Group Inc.,0,0.033735,0.06747
Information Technology,JKHY,Jack Henry & Associates Inc.,0,0.033421,0.066842
Health Care,XRAY,DENTSPLY SIRONA Inc.,0,0.033058,0.066116
Health Care,INCY,Incyte Corporation,0,0.032888,0.065776
Utilities,ATO,Atmos Energy Corporation,0,0.032881,0.065762
Industrials,CHRW,C.H. Robinson Worldwide Inc.,0,0.032869,0.065738
Information Technology,FFIV,F5 Networks Inc.,0,0.032518,0.065036
Communication Services,LUMN,Lumen Technologies Inc.,0,0.032295,0.06459
Industrials,RHI,Robert Half International Inc.,0,0.032243,0.064486
Consumer Staples,HRL,Hormel Foods Corporation,0,0.032238,0.064476
Industrials,PNR,Pentair plc,0,0.032072,0.064144
Industrials,HWM,Howmet Aerospace Inc.,0,0.031674,0.063348
Industrials,ALLE,Allegion PLC,0,0.031533,0.063066
Information Technology,CTXS,Citrix Systems Inc.,0,0.03151,0.06302
Industrials,SNA,Snap-on Incorporated,0,0.031385,0.06277
Materials,FMC,FMC Corporation,0,0.03129,0.06258
Consumer Discretionary,HAS,Hasbro Inc.,0,0.031215,0.06243
Real Estate,HST,Host Hotels & Resorts Inc.,0,0.031105,0.06221
Financials,L,Loews Corporation,0,0.030981,0.061962
Consumer Discretionary,BWA,BorgWarner Inc.,0,0.030691,0.061382
Consumer Discretionary,PENN,Penn National Gaming Inc.,0,0.030154,0.060308
Financials,RE,Everest Re Group Ltd.,0,0.029774,0.059548
Financials,CMA,Comerica Incorporated,0,0.029329,0.058658
Health Care,HSIC,Henry Schein Inc.,0,0.029163,0.058326
Consumer Discretionary,TPR,Tapestry Inc.,0,0.029133,0.058266
Financials,WRB,W. R. Berkley Corporation,0,0.029054,0.058108
Communication Services,DISH,DISH Network Corporation Class A,0,0.028815,0.05763
Real Estate,REG,Regency Centers Corporation,0,0.028485,0.05697
Consumer Discretionary,MHK,Mohawk Industries Inc.,0,0.027591,0.055182
Utilities,NRG,NRG Energy Inc.,0,0.027222,0.054444
Financials,ZION,Zions Bancorporation N.A.,0,0.026969,0.053938
Energy,APA,APA Corp.,0,0.026511,0.053022
Health Care,UHS,Universal Health Services Inc. Class B,0,0.0262,0.0524
Consumer Discretionary,NCLH,Norwegian Cruise Line Holdings Ltd.,0,0.025881,0.051762
Consumer Discretionary,WYNN,Wynn Resorts Limited,0,0.025803,0.051606
Utilities,NI,NiSource Inc,0,0.025755,0.05151
Financials,AIZ,Assurant Inc.,0,0.025503,0.051006
Communication Services,NWSA,News Corporation Class A,0,0.025181,0.050362
Information Technology,JNPR,Juniper Networks Inc.,0,0.025004,0.050008
Financials,GL,Globe Life Inc.,0,0.023912,0.047824
Consumer Staples,TAP,Molson Coors Beverage Company Class B,0,0.023338,0.046676
Information Technology,DXC,DXC Technology Co.,0,0.023152,0.046304
Industrials,AOS,A. O. Smith Corporation,0,0.023095,0.04619
Real Estate,FRT,Federal Realty Investment Trust,0,0.023006,0.046012
Financials,IVZ,Invesco Ltd.,0,0.022829,0.045658
Consumer Discretionary,NWL,Newell Brands Inc,0,0.022797,0.045594
Health Care,OGN,Organon & Co.,0,0.022767,0.045534
Information Technology,WU,Western Union Company,0,0.022559,0.045118
Materials,SEE,Sealed Air Corporation,0,0.022552,0.045104
Consumer Staples,CPB,Campbell Soup Company,0,0.02253,0.04506
Industrials,HII,Huntington Ingalls Industries Inc.,0,0.02247,0.04494
Consumer Staples,LW,Lamb Weston Holdings Inc.,0,0.02234,0.04468
Industrials,ROL,Rollins Inc.,0,0.022031,0.044062
Financials,BEN,Franklin Resources Inc.,0,0.021992,0.043984
Consumer Discretionary,PVH,PVH Corp.,0,0.020986,0.041972
Utilities,PNW,Pinnacle West Capital Corporation,0,0.020361,0.040722
Financials,PBCT,People's United Financial Inc.,0,0.02019,0.04038
Health Care,DVA,DaVita Inc.,0,0.019943,0.039886
Industrials,ALK,Alaska Air Group Inc.,0,0.019112,0.038224
Communication Services,DISCK,Discovery Inc. Class C,0,0.018855,0.03771
Industrials,NLSN,Nielsen Holdings Plc,0,0.018842,0.037684
Real Estate,VNO,Vornado Realty Trust,0,0.018754,0.037508
Consumer Discretionary,LEG,Leggett & Platt Incorporated,0,0.016305,0.03261
Consumer Discretionary,HBI,Hanesbrands Inc.,0,0.016052,0.032104
Information Technology,IPGP,IPG Photonics Corporation,0,0.015638,0.031276
Communication Services,FOX,Fox Corporation Class B,0,0.015527,0.031054
Consumer Discretionary,RL,Ralph Lauren Corporation Class A,0,0.015203,0.030406
Consumer Discretionary,GPS,Gap Inc.,0,0.012514,0.025028
Communication Services,DISCA,Discovery Inc. Class A,0,0.010943,0.021886
Consumer Discretionary,UAA,Under Armour Inc. Class A,0,0.010374,0.020748
Consumer Discretionary,UA,Under Armour Inc. Class C,0,0.00938,0.01876
Communication Services,NWS,News Corporation Class B,0,0.007934,0.015868
